Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Haiti, , , , , , , , , , , , , , , , , , , , , , ,58.5, , , , , , , , 
Honduras, , , , , , , , , , , ,63.7,64.8,65.3,64.6,63.7,59.9,58.2,59.2,58.8,60,61.9,66.5,64.5, , , , , , , 
Hungary, , , , , , , , , , , , , , ,13.5,15.9,12.3,12.4,12.4,12.3,13.8,14,14.3, , , , , , , , 
India, , , ,45.3, , , , , , , , , , ,37.2, , , , ,29.8, ,21.9, , , , , , , , , 
Indonesia, , , , , , ,17.6, , ,23.4, , ,18.2,17.4,16.7,16,17.8,16.6,15.4,14.2,13.3,12.5,12,11.4,11.3, , , , , , 
Iraq, , , , , , , , , , , , , , , , , ,22.4, , , , ,18.9, , , , , , , , 
Jamaica,28.4,44.6,33.9,24.4,22.8,27.5,26.1,19.9,15.9,16.9,18.7,16.9,19.7,19.1,16.9,14.8,14.3,9.9,12.3,16.5,17.6, ,19.9, , , , , , , , 
Jordan, , , , , , , , , , , , , , , , , , , , ,14.4, , , , , , , , , , 
Kazakhstan, , , , , , , , , , , ,46.7,44.5,37.5,33.9,31.6,18.2,12.7,12.1,8.2,6.5,5.5,3.8,2.9, , , , , , , 
Kenya, , , , , , , , , , , , , , , ,45.9, , , , , , , , , , , , , , , 
Kyrgyzstan, , , , , , , , , , , , , , , , ,39.9,35,31.7,31.7,33.7,36.8,38,37, , , , , , , 
Lao People's Democratic Republic, , ,46, , , , ,39.1, , , , ,33.5, , , , ,27.6, , , , ,23.2, , , , , , , , 
Latvia, , , , , , , , , , , , , , ,19.4,23.5,21.2,25.9,26.4,20.9,19,19.2,19.4, , , , , , , , 
Lebanon, , , , , , , , , , , , , , ,28.6, , , , , , , , , , , , , , , , 
Lesotho, , , , ,66.6, , , , , , , ,56.6, , , , , , , ,57.1, , , , , , , , , , 
Liberia, , , , , , , , , , , , , , , , , ,63.8, , , , , , , , , , , , , 
Lithuania, , , , , , , , , , , , , , ,20.5,20,19.1,20,20.3,20.5,19.2,18.6,20.6, , , , , , , , 
Madagascar, , , , , , , , , , , ,70.8, , , ,75, , , , ,75.3, , , , , , , , , , 
Malawi, , , , , , , ,65.3, , , , , , ,52.4, , , , , ,50.7, , , , , , , , , , 
Malaysia, , ,12.4, , ,8.7, ,6.1, ,8.5, , ,6, ,5.7, , ,3.6, ,3.8, , ,1.7, , , , , , , , 
Mali, , , , , , , , , , , ,55.6, , , , ,47.5, , , ,43.6, , , , , , , , , , 
Mauritania, , , , , , , , , , ,51, , , ,46.7, , , ,42, , , , , , , , , , , , 
Mexico, , ,53.1, ,52.4, ,69, ,63.7, ,53.6, ,50, ,47.2,47,42.9, ,47.8, ,51.1, ,52.3, , , , , , , , 
Mongolia, , , , , , , , , , , , , , , , , , , , ,38.7,33.7,27.4, , , , , , , , 
Montenegro, , , , , , , , , , , , , , , ,11.2,11.3,8,4.9,6.8,6.6,9.3,11.3, , , , , , , , 
Morocco, , , , , , , , ,16.3, , ,15.3, , , , , ,8.9, , , , , , , , , , , , , 
Mozambique, , , , , , ,69.4, , , , , ,54.1, , , , , , ,54.7, , , , , , , , , , , 
Namibia, , , , ,69.3, , , , , , , , , ,37.7, , , , ,28.7, , , , , , , , , , , 
Nepal, , , , , , , , , , , , , , , , , , , , ,25.2, , , , , , , , , , 
Nicaragua, , , , , , , , , , , , , , , ,48.3, , , ,42.5, , , , , , , , , , , 
Niger, , , , , , , , , , , , , , , , , , , , , ,48.9, , , , , , , , , 
Nigeria, , , , , , , , , , , , , , ,48.4, , , , , ,46, , , , , , , , , , 
Pakistan, , , , , , , , ,30.6, , ,34.5, , ,23.9,22.3, , , , , , , , , , , , , , , 
Panama, , , , , , , , , , , , , , , , ,38.3,36.5,33.8,33.4,29.8,27.6,26.5,25.8, , , , , , , 
Papua New Guinea, , , , , , ,37.5, , , , , , , , , , , , ,39.9, , , , , , , , , , , 
Paraguay, , , , , , , , , , , , , ,44,41.3,38.6,43.7,41.2,37.9,35.1,34.7,32.4,26.9,23.8, , , , , , , 
Peru, , , , , , , , , , , ,54.8,54.3,52.3,58.7,55.6,49.2,42.4,37.3,33.5,30.8,27.8,25.8,23.9, , , , , , , 
Philippines, , , , , , , , , , , , , ,24.9, , ,26.6, , ,26.3, , ,25.2, , , , , , , , 
Poland, , , , , , , , , ,14.3,14.8,15.6,16.6, ,20.5,19.1,17.3,16.9,17.1,17.6,17.7,17.1,17.3, , , , , , , , 
Republic of Moldova, , , , , , , , , , , , , ,29,26.5,29,30.2,25.8,26.4,26.3,21.9,17.5,16.6,12.7, , , , , , , 
Romania, , , , , , , , , , , , , , , , ,24.8,23.4,22.4,21.1,22.2,22.6,22.4, , , , , , , , 
Russian Federation, , , , , , , , , , , , ,24.6,20.3,17.6,17.8,15.2,13.3,13.4,13,12.5,12.7,10.7,10.8, , , , , , , 
Rwanda, , , , , , , , , , , , , , , , ,56.7, , , , ,44.9, , , , , , , , , 
Sao Tome and Principe, , , , , , , , , , , , , , , , , , , ,61.7, , , , , , , , , , , 
Senegal, , , , , , , , , , , ,55.2, , , ,48.3, , , , , ,46.7, , , , , , , , , 
Serbia, , , , , , , , , , , , , , , , , , , , , ,24.6, , , , , , , , , 
Seychelles, , , , , , , , , , , , , , , , ,37.8, , , , , , , , , , , , , , 
Sierra Leone, , , , , , , , , , , , , ,66.4, , , , , , , ,52.9, , , , , , , , , 
Slovakia, , , , , , , , , , , , , , ,13.3,11.6,10.6,10.9,11,12,13,13.2,12.8, , , , , , , , 
Slovenia, , , , , , , , , , , , , , ,12.2,11.6,11.5,12.3,11.3,12.7,13.6,13.5,14.5, , , , , , , , 
Solomon Islands, , , , , , , , , , , , , , , , ,22.7, , , , , , , , , , , , , , 
South Africa, , , , , , , , , , , , , , , , ,66.6, , , , ,53.8, , , , , , , , , 
South Sudan, , , , , , , , , , , , , , , , , , , ,50.6, , , , , , , , , , , 
Sri Lanka,26.1, , , , ,28.8, , , , , , ,22.7, , , ,15.2, , ,8.9, , , ,6.7, , , , , , , 
State of Palestine, , , , , , , , , , , , , ,35.5,25.6,29.5,30.8,31.2, ,26.2,25.7,25.8, , , , , , , , , 
Sudan, , , , , , , , , , , , , , , , , , , ,46.5, , , , , , , , , , , 
Swaziland, , , , , , , , , , ,69, , , , , , , , ,63, , , , , , , , , , , 
Syrian Arab Republic, , , , , , , , , , , , , , ,30.1, , ,35.2, , , , , , , , , , , , , 
Tajikistan, , , , , , , , , ,96, , , ,72.4, , , ,53.1, ,47.2, , , , , , , , , , , 
Thailand,58.1, ,50.1, ,42.7, ,35.3, ,38.7, ,42.6, ,32.6, ,26.9, ,23.4,20.9,20.5,19.1,16.9,13.2,12.6, , , , , , , , 
The former Yugoslav Republic of Macedonia, , , , , , , , , , , , , , , , , , , ,27.3,27.1, , , , , , , , , , 
Timor-Leste, , , , , , , , , , , ,36.3, , , , , ,49.9, , , , , , , , , , , , , 
Togo, , , , , , , , , , , , , , , , ,61.7, , , , ,58.7, , , , , , , , , 
Tunisia, , , , , , , , , , ,32.4, , , , ,23.3, , , , ,15.5, , , , , , , , , , 
Turkey, , , , , , , , , , , , ,30.3,23.8,20.9,16.4,13.3,8.4,6.8,4.4,3.7,2.8,2.3, , , , , , , , 
Uganda, , ,56.4, , , ,44.4, , , ,33.8, ,38.8, , ,31.1, , , ,24.5, , ,19.5, , , , , , , , 
Ukraine, , , , , , , , , , , , , , , , , ,12.7,7.1,5.8,8.8,7.8,9.1,8.4, , , , , , , 
United Republic of Tanzania, , , , , , , , , , , , , , , , , , , , , , ,28.2, , , , , , , , 
Uruguay, , , , , , , , , , , , , , , , ,32.5,29.6,24.2,21,18.5,13.7,12.4,11.5, , , , , , , 
Uzbekistan, , , , , , , , , , , , , , , , , , , , ,17.7,16, , , , , , , , , 
Venezuela, , , , , , , ,54.5,50.4,48.7,46.3,45.4,55.4,62.1,53.9,43.7,36.3,33.6,32.6,31.8,32.5,31.6,25.4, , , , , , , , 
Viet Nam, , , , , , , , , , , , , , , , , , , , ,20.7, ,17.2, , , , , , , , 
Yemen, , , , , , , , ,40.1, , , , , , ,34.8, , , , , , , , , , , , , , , 
Zambia, , , , , , , , , , , , , , , , , , , , ,60.5, , , , , , , , , , 
Zimbabwe, , , , , , , , , , , , , , , , , , , , , ,72.3, , , , , , , , , 
