Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Mali,94.2, , , , ,84.8, , , , ,75.4, , , , ,65.9, ,65.9, ,65.9, , , , ,56.3, , , , , , 
Mauritania,, , , , ,, , , , ,, , , , ,, ,, ,, , , , ,79.9, , , , , , 
Mexico,23.1, , , , ,21.5, , , , ,19.9, , , , ,14.4, ,14.4, ,, , , , ,11.1, , , , , , 
Mongolia,68.5, , , , ,66.7, , , , ,64.9, , , , ,57.9, ,57.9, ,, , , , ,42.7, , , , , , 
Morocco,37.4, , , , ,35.2, , , , ,24.2, , , , ,13.1, ,13.1, ,13.1, , , , ,13.1, , , , , , 
Mozambique,75.6, , , , ,76.9, , , , ,78.2, , , , ,79.5, ,80, ,80.5, , , , ,80.3, , , , , , 
Myanmar,, , , , ,, , , , ,, , , , ,45.6, ,, ,, , , , ,41, , , , , , 
Namibia,34.4, , , , ,34.1, , , , ,33.9, , , , ,33.9, ,33.6, ,33.5, , , , ,33.2, , , , , , 
Nepal,70.6, , , , ,67.3, , , , ,64, , , , ,60.7, ,59.4, ,58.1, , , , ,54.3, , , , , , 
Nicaragua,89.1, , , , ,74.5, , , , ,60, , , , ,45.5, ,45.5, ,, , , , ,, , , , , , 
Niger,83.6, , , , ,83.1, , , , ,82.6, , , , ,82.1, ,81.9, ,81.7, , , , ,70.1, , , , , , 
Nigeria,77.3, , , , ,73.5, , , , ,69.6, , , , ,65.8, ,64.2, ,62.7, , , , ,50.2, , , , , , 
Pakistan,51, , , , ,49.8, , , , ,48.7, , , , ,47.5, ,47, ,46.6, , , , ,45.5, , , , , , 
Panama,, , , , ,, , , , ,, , , , ,23, ,, ,, , , , ,25.8, , , , , , 
Paraguay,, , , , ,, , , , ,, , , , ,17.6, ,, ,, , , , ,, , , , , , 
Peru,66.4, , , , ,56.3, , , , ,46.2, , , , ,36.1, ,36.1, ,, , , , ,34.2, , , , , , 
Philippines,54.3, , , , ,50.8, , , , ,47.2, , , , ,43.7, ,42.3, ,40.9, , , , ,38.3, , , , , , 
Rwanda,96, , , , ,87.9, , , , ,79.7, , , , ,71.6, ,68.3, ,65.1, , , , ,53.2, , , , , , 
Saint Lucia,, , , , ,, , , , ,, , , , ,11.9, ,, ,, , , , ,, , , , , , 
Sao Tome and Principe,, , , , ,, , , , ,, , , , ,, ,, ,, , , , ,86.6, , , , , , 
Saudi Arabia,, , , , ,, , , , ,, , , , ,18, ,, ,, , , , ,, , , , , , 
Senegal,70.6, , , , ,59.8, , , , ,48.9, , , , ,43.3, ,41.1, ,38.8, , , , ,39.4, , , , , , 
Sierra Leone,, , , , ,, , , , ,, , , , ,97, ,, ,, , , , ,75.6, , , , , , 
Somalia,, , , , ,, , , , ,, , , , ,73.5, ,73.6, ,73.6, , , , ,73.6, , , , , , 
South Africa,46.2, , , , ,39.7, , , , ,33.2, , , , ,28.7, ,23, ,23, , , , ,23, , , , , , 
South Sudan,, , , , ,, , , , ,, , , , ,, ,, ,, , , , ,95.6, , , , , , 
Sudan,, , , , ,, , , , ,, , , , ,, ,, ,, , , , ,91.6, , , , , , 
Suriname,, , , , ,, , , , ,, , , , ,3.9, ,, ,, , , , ,7.3, , , , , , 
Swaziland,, , , , ,, , , , ,, , , , ,, ,, ,, , , , ,32.7, , , , , , 
Syrian Arab Republic,, , , , ,, , , , ,, , , , ,10.5, ,22.5, ,, , , , ,19.3, , , , , , 
Thailand,, , , , ,, , , , ,, , , , ,26, ,26.5, ,27, , , , ,25, , , , , , 
Togo,, , , , ,, , , , ,, , , , ,62.1, ,, ,, , , , ,51.2, , , , , , 
Trinidad and Tobago,, , , , ,, , , , ,, , , , ,24.7, ,, ,, , , , ,, , , , , , 
Tunisia,, , , , ,, , , , ,, , , , ,, ,, ,, , , , ,8, , , , , , 
Turkey,23.4, , , , ,20.7, , , , ,17.9, , , , ,15.5, ,14.1, ,13, , , , ,11.9, , , , , , 
Uganda,75, , , , ,75, , , , ,75, , , , ,66.7, ,63.4, ,60.1, , , , ,53.6, , , , , , 
United Republic of Tanzania,77.4, , , , ,73.7, , , , ,70.1, , , , ,66.4, ,65, ,63.5, , , , ,50.7, , , , , , 
Venezuela,, , , , ,, , , , ,, , , , ,32, ,, ,, , , , ,, , , , , , 
Viet Nam,60.5, , , , ,54.6, , , , ,48.8, , , , ,41.3, ,38.3, ,35.2, , , , ,27.2, , , , , , 
Yemen,, , , , ,, , , , ,, , , , ,67.2, ,76.8, ,, , , , ,60.8, , , , , , 
Zambia,57, , , , ,57.1, , , , ,57.2, , , , ,57.2, ,57.3, ,57.3, , , , ,54, , , , , , 
Zimbabwe,4, , , , ,3.7, , , , ,3.3, , , , ,17.9, ,21, ,24.1, , , , ,25.1, , , , , , 
