"Country","Population","Over65_perc","Over80F_percf","Over80M_percm","Slums_perc","GDP_pcap_ppp","Imports_percgdp","PartTime_perc","Salaried_perc","Poverty_perc","StatsCapacity","SciArticles","HealthSpend_pcap_ppp","LifeExp","HospBed_per10thou","MD_per10thou","HygBasic_natperc","HygLimit_natperc","HygNone_natperc","HygBasic_ruralperc","HygLimit_ruralperc","HygNone_ruralperc","HygBasic_urbanperc","HygLimit_urbanperc","HygNone_urbanperc"
"Costa Rica",4999441,9.54984767296984,2.37343683380703,1.75238043412588,5.5,17671.0953526733,33.2420840335805,27.7700004577637,74.8679962158203,22.4,84.4444333333333,507.41,1262.16430664063,80.095,12,11.497,"84","10","6","83","12","5","84","10","6"
"Cote d'Ivoire",25069229,2.85894301500285,0.304082628890146,0.26749550341734,56,4207.08693435064,29.2470562631073,22.9899997711182,27.2520008087158,42.7,63.3333666666667,248.14,175.661117553711,57.422,4,2.326,"19","34","47","10","37","53","28","30","42"
"Croatia",4087843,20.445433012423,7.48582734086672,3.64181309123871,NA,27579.7808327382,51.3615432817724,25.5,88.0039978027344,19.5,77.7778,4276.9,1772.48168945313,78.0707317073171,56,29.962,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuba",11338138,15.1862114171521,4.09119837835906,3.05465809699798,NA,NA,12.5931035861752,NA,73.3079986572266,NA,NA,968.74,2485.81079101563,78.726,52,81.9,"85","10","5","76","12","12","88","9","3"
"Curacao",159800,16.6848948092804,4.25024420163104,3.10931455876645,NA,27743.0700522301,85.3287355824135,21.8899993896484,NA,NA,NA,NA,NA,78.0170731707317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",1189265,13.7190617734483,3.77612163819838,2.46615404008572,NA,38513.2845672751,72.2795717929557,28.8400001525879,86.7679977416992,NA,NA,1245.42,2430.17602539063,80.828,34,19.511,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czechia",10629928,19.4208768932343,5.34618323660414,2.83741960028193,NA,39743.5970941416,72.0030708959607,28.2000007629395,83.1989974975586,8.6,NA,15576.6,2753.3837890625,78.9780487804878,65,43.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Democratic Republic of the Congo",84068091,3.01784062159803,0.45039657764134,0.311127929323779,46.9,932.172006786861,37.3422312884634,NA,18.3229999542236,46.5,44.4444333333333,148.72,37.3322334289551,60.368,16,1.159,"48","34","18","32","43","25","56","29","14"
"Democratic Republic of the Congo",84068091,3.01784062159803,0.45039657764134,0.311127929323779,74.8,932.172006786861,37.3422312884634,NA,18.3229999542236,63.6,44.4444333333333,148.72,37.3322334289551,60.368,16,1.159,"48","34","18","32","43","25","56","29","14"
"Democratic Republic of the Congo",84068091,3.01784062159803,0.45039657764134,0.311127929323779,46.9,932.172006786861,37.3422312884634,NA,18.3229999542236,46.5,44.4444333333333,148.72,37.3322334289551,60.368,8,0.9,"4","11","84","2","11","87","7","12","81"
"Democratic Republic of the Congo",84068091,3.01784062159803,0.45039657764134,0.311127929323779,74.8,932.172006786861,37.3422312884634,NA,18.3229999542236,63.6,44.4444333333333,148.72,37.3322334289551,60.368,8,0.9,"4","11","84","2","11","87","7","12","81"
"Denmark",5793636,19.8129526369902,5.4657626049592,3.56907491645087,NA,55671.1652650668,49.5945167161173,42.939998626709,91.9609985351563,NA,NA,13978.8,5509.99560546875,81.3512195121951,25,44.567,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Djibouti",958920,4.52757937811482,0.706059518593781,0.513758341390734,65.6,2744.26865451208,178.881328667234,NA,52.8950004577637,NA,55.5555666666667,6.16,117.189079284668,66.582,14,2.203,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominica",71625,NA,NA,NA,NA,11129.8611927628,65.095817562071,NA,NA,NA,50,12.6,656.67138671875,NA,NA,10.825,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic",10627165,7.08281747649721,1.76264422601075,1.41201958686141,12.1,17748.1853186175,28.504535080793,26.75,56.1920013427734,41.1,70,49.26,985.729248046875,73.892,16,15.6,"55","16","29","42","16","42","58","16","26"
"Early-demographic dividend",3249140605,5.8178056840413,1.1117003864778,0.809332706691048,NA,10371.6039430846,29.1709171020201,NA,40.4724764813469,NA,63.1884101449275,357984.941513648,431.75565052011,70.2552611004123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Asia & Pacific",2328220870,10.7443580041224,2.55995655622063,1.55374409698748,NA,19329.7758996229,28.2231415753381,NA,55.084544606261,NA,NA,866663.165708603,975.211290223284,75.8657476184635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Asia & Pacific (excluding high income)",2081651801,9.49623787364322,1.95291309200999,1.21943674101314,NA,16113.5406974031,24.2547724697715,NA,51.5470487516109,NA,71.2037111111111,598879.870717703,647.376717316873,74.9949516020133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Asia & Pacific (IDA & IBRD countries)",2056064424,9.49824756454622,1.94649433603256,1.22613644151336,NA,16282.9374331991,24.2542439912906,NA,52.1632570966425,NA,71.2037111111111,598781.994300491,647.387596001524,75.0333588983101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ecuador",17084357,7.15728972666108,1.76344337420836,1.31184512164103,36,11734.3873890471,23.0467920375474,34.5499992370605,50.2680015563965,22.5,66.6666666666667,2142.19,958.857666015625,76.8,15,20.5,"81","10","10","75","16","8","84","6","10"
"Egypt",98423595,5.22977934620923,0.988303008774181,0.593765076616204,10.6,12412.3094005832,29.3662955784919,13.7399997711182,68.7460021972656,25.2,82.2222666666667,13326.67,613.808776855469,71.825,16,7.902,"90","10","0","88","12","0","93","6","2"
"El Salvador",6420744,8.28709000480629,2.03761415377831,1.64624432140546,28.9,8331.80414200319,48.6179529493035,22.9300003051758,61.2939987182617,29.6,85.5555666666667,45.44,582.735778808594,73.096,13,15.69,"91","7","3","86","10","4","92","5","2"
"Equatorial Guinea",1308974,2.45787734677897,0.344897510276468,0.232444907806023,66.2,22743.8244342202,43.3468044957638,NA,14.0389995574951,76.8,39.9999666666667,2.6,758.934936523438,58.402,21,4,"25","22","53","20","24","56","26","21","53"
"Eritrea",3213972,4.08385636215873,0.564450154130415,0.404092211701495,NA,2102.95405980347,NA,NA,13.1199998855591,69,27.7777666666667,21.37,59.2736396789551,65.941,7,0.557,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia",1321977,19.6263568469749,7.95170970911135,3.14651675159787,NA,35973.7764604798,70.7437935394783,29,89.4029998779297,18.6,50,1414.72,2153.33959960938,78.5439024390244,50,34.651,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eswatini",1136191,4.01458794083506,0.931017632727223,0.27689602617271,32.7,10637.8417276438,43.9119686281662,18.3700008392334,65.1750030517578,63,66.6666666666667,34.05,600.116760253906,59.401,21,0.796,"24","31","44","17","33","50","48","27","26"
"Ethiopia",109224559,3.50113299760986,0.547960578097338,0.454539763915115,73.9,2022.13796136605,22.798726646213,NA,13.46399974823,29.6,57.7777666666667,1994.44,66.6621627807617,66.24,3,1,"8","51","41","4","50","46","23","57","19"
"Euro area",341783171,20.6002875939103,7.74208815206641,4.73248328012832,NA,46207.3235069981,42.1547853863016,37.2234676774077,85.330244340153,NA,NA,414171.55,4272.50756035799,81.9507304209619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe & Central Asia",918793590,16.3488906043948,5.6790467054585,3.19958534021371,NA,34702.5547227272,40.3248821576232,33.4212681275015,82.5624984764488,NA,NA,794017.985067441,2698.02582285126,77.7446903650865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe & Central Asia (excluding high income)",417797257,12.0469773953365,3.9181020122912,1.75868631228913,NA,21931.7244501372,30.159702123788,13.2445815371151,79.1461974099847,NA,74.0555583333333,151727.76,1027.56704626066,73.3991723323695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe & Central Asia (IDA & IBRD countries)",459865205,12.5755989186922,4.1225121790275,1.87156835143501,NA,22758.6641879978,33.6035385808689,14.3043788787052,79.288270666063,NA,74.4444484848485,191667.3,1097.14240626385,73.808354320107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European Union",446786293,20.1631001653263,7.32741516226152,4.37185902750754,NA,43398.9480962054,41.8588724449149,34.4459978801746,84.7629880765452,NA,NA,524444.25,4054.27491460857,80.9705020352996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faroe Islands",48497,NA,NA,NA,NA,NA,50.3922320927899,NA,NA,NA,NA,NA,NA,82.5487804878049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiji",883483,5.44968041263952,0.687612641052426,0.471507506837082,NA,10879.4784622426,NA,NA,55.6940002441406,35.2,57.7778,139.78,322.759735107422,67.341,23,8.374,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",5515525,21.7207875455222,6.88880106615372,3.92274373431006,NA,48416.93602994,39.2931632352753,43.4300003051758,86.8479995727539,NA,NA,10598.94,4255.2236328125,81.8341463414634,44,38.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fragile and conflict affected situations",743958386,3.382472467459,0.507194867973493,0.34467880241671,NA,4665.18853318125,37.0257406247775,NA,28.155000022182,NA,49.4636034482759,11265.0984022736,184.855946057268,61.4957058546614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"France",66977107,20.0346247469881,7.63916641923836,4.56728527775527,NA,45342.3957360832,32.1109689812119,39.189998626709,88.3580017089844,NA,NA,66352.18,5011.20068359375,82.5268292682927,65,32.349,NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Guiana",NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Polynesia",277679,8.29050810468202,1.69026219142676,1.17687190857923,NA,NA,NA,NA,83.4160003662109,NA,NA,NA,NA,77.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon",2119275,3.56390746835592,0.681796982206926,0.385315219163665,37,17875.7611482905,21.5123688593313,NA,66.1569976806641,32.7,43.3333,63.78,499.612976074219,66.187,13,3.611,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgia",3726549,14.8654914310525,4.84595282798026,2.51953652717939,NA,12004.5738332821,61.1971488341745,35.9300003051758,48.935001373291,14.8,87.7777666666667,550.41,773.267028808594,73.6,26,50.976,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany",82905782,21.4619619953309,8.18380735564631,5.07035282230536,NA,53074.5401181641,41.254735570526,40.810001373291,90.1549987792969,NA,NA,104396.12,5922.63818359375,80.9926829268293,83,42.087,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana",29767108,3.06889800693396,0.373264823580508,0.279961164752472,37.9,4746.68499549277,36.4138216028432,30.4500007629395,25.6450004577637,24.2,74.4444666666667,1275.99,146.866897583008,63.78,9,1.8,"41","42","17","37","43","20","45","41","14"
"Gibraltar",33718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greece",10731726,21.6552720778435,8.39676589590683,6.13905853892866,NA,29592.1524196167,36.3904688555073,25.8799991607666,66.6259994506836,NA,NA,10906.99,2295.32836914063,81.2878048780488,43,45.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greenland",56025,NA,NA,NA,NA,NA,45.0191491349158,NA,NA,NA,NA,30,NA,70.8487804878049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grenada",111454,9.62190679562869,2.75652504205329,1.72892703251309,6,15557.5450365264,55.1720799500312,NA,NA,NA,57.7777666666667,46.17,721.080505371094,72.384,37,14.471,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guadeloupe",NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guam",165768,9.84991071859466,2.56194620156739,1.43329789902416,NA,NA,53.6824324324324,NA,87.5250015258789,NA,NA,NA,NA,79.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala",17247807,4.81207250828785,1.17451954614211,0.935174985011108,34.5,8462.37400812193,27.6848354752307,29.3600006103516,59.6580009460449,53.7,64.4444666666667,99.89,474.8486328125,74.063,6,3.55,"77","21","3","70","27","3","83","14","2"
"Guinea",12414318,2.92602244847935,0.380757766245976,0.2583652284174,43.3,2504.86974463305,53.0245859191977,NA,8.49499988555908,55.2,52.2222333333333,27.84,89.170051574707,61.185,3,0.788,"17","31","52","13","33","55","26","27","47"
"Guinea-Bissau",1874309,2.82371633615269,0.348883645323176,0.188692645138733,82.3,1799.06789098093,32.4552944897155,NA,22.8659992218018,69.3,54.4444333333333,15.01,123.286926269531,58.003,10,2,"6","5","89","5","4","92","9","6","85"
"Guyana",779004,6.45027124309697,1.46646460897713,1.0780078721429,33.1,8640.73737016211,47.1231768121411,NA,67.5439987182617,NA,53.3333333333333,13.7,405.077758789063,69.774,16,7.99,"77","11","12","78","12","10","75","9","16"
"Haiti",11123176,4.94940384843253,0.973671571409859,0.681593974908203,74.4,1866.61758904114,58.4729311903517,NA,27.0650005340576,58.5,46.6666666666667,29.18,146.149261474609,63.66,7,2.345,"23","61","16","16","63","21","29","60","12"
"Heavily indebted poor countries (HIPC)",780234406,3.02840923793326,0.463152695584916,0.324623054317235,NA,2530.64447697397,34.580562094654,NA,19.4938974706759,NA,57.2222342592593,8868.91568945769,127.519333719888,62.7486826008412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"High income",1210312147,17.9320439329727,6.14011978504199,3.71146570967655,NA,50630.9621222157,30.7570481701571,29.9617594501424,87.7213234479722,NA,NA,1440101.05719948,5600.07345685101,80.6937295003259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras",9587522,4.69061765907812,1.20341974103531,0.855371368445934,27.5,5138.75245733876,60.3559049549425,33.8400001525879,48.6769981384277,64.5,53.3333666666667,45.1,394.759613037109,75.088,7,3.144,"84","10","6","80","15","5","87","6","7"
"Hong Kong",7451000,16.8750483265122,5.42435609053178,4.31292927657006,NA,64596.5638523698,188.220901106377,16.8600006103516,91.5530014038086,NA,NA,NA,NA,84.9341463414634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",9775564,19.1577253832321,5.87648547244443,2.66613363628863,NA,31102.5027541193,80.5650745438455,24.3600006103516,89.6740036010742,14.3,50,6700.92,1979.4033203125,75.8170731707317,70,32.312,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IBRD only",4772284113,8.48378013902042,1.89800576338564,1.16719588765161,NA,14749.8277435078,26.4732036419728,NA,50.7109411695881,NA,69.6851905555556,1133907.35403849,682.319735201246,73.1955086229713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iceland",352721,14.7950925565689,4.35363279712858,3.11675247056039,NA,57303.060783165,44.1312252976555,37.2700004577637,87.8949966430664,NA,NA,680.89,4721.42626953125,82.6609756097561,32,39.701,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDA & IBRD total",6412522234,7.22482074084979,1.55363126431879,0.981547601236896,NA,12003.2962661047,26.5650815401091,NA,45.6817787543975,NA,64.2049876436782,1169198.15117054,552.426888547823,70.8585577824811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDA blend",555830605,3.4988603827318,0.496933826090801,0.422609777849289,NA,5614.24668006088,22.2583938342749,NA,35.9056415925137,NA,62.2222242424242,22050.42,192.253682527613,61.9968846385796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDA only",1084407516,3.58759259082614,0.594657439834225,0.440899347356705,NA,3249.85440692779,34.5793069135048,NA,25.6499075283746,NA,57.3827259259259,13241.1487923632,129.863413379425,64.973294676486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDA total",1640238121,3.55749115143391,0.561900948126324,0.43462114262834,NA,4059.55739519574,28.1137601008843,NA,28.7878820961473,NA,58.3333416666667,35291.1883643492,152.010531140125,63.9647120093937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"India",1352617328,6.17995564947149,1.07414113739948,0.815471943199711,24,7762.88176956734,23.6396344113843,NA,23.7150001525879,21.9,72.2222333333333,135787.79,253.322418212891,69.416,7,7.776,"60","38","3","49","47","3","80","19","2"
"Indonesia",267663435,5.85716561272863,1.07374094433761,0.638622003478531,21.8,13079.619296594,22.0559700304026,32.2099990844727,48.5120010375977,11.3,82.2222333333333,26947.57,367.94140625,71.509,12,3.777,"64","6","29","55","6","38","72","6","22"
"Iran",81800269,6.18457380562499,0.966979085667083,1.27963766923657,NA,21011.2883087802,23.8384608001943,32.1599998474121,54.7750015258789,NA,72.2222333333333,48305.64,1748.39575195313,76.479,15,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iraq",38433600,3.32359966279505,0.590288220297314,0.375919297130585,47.2,17435.8539331446,35.9484339574529,23.9099998474121,77.5950012207031,18.9,34.4444666666667,6073.39,NA,70.454,14,8.217,"95","4","2","90","7","3","96","3","0"
"Ireland",4867309,13.8658017012923,3.53762432346675,2.50008058294329,NA,83203.3946770927,89.1849891528727,35.2400016784668,85.1070022583008,NA,NA,7174.11,5544.67822265625,82.6073170731707,28,30.861,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isle of Man",84077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Israel",8882800,11.9769860249625,3.67980385891828,2.41256950102334,NA,39919.1696489174,29.0185324309142,29.8500003814697,87.6429977416992,NA,NA,12234.69,3014.64721679688,82.8024390243903,31,32.176,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy",60421760,22.7516796025077,8.86526233243739,5.4816091504843,NA,41830.4263276444,28.9543448380087,33.5699996948242,77.0800018310547,NA,NA,71240.28,3619.69799804688,82.9463414634147,34,40.931,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jamaica",2934855,8.79664255070196,2.15249763097333,1.93886183636797,60.5,9326.66405867008,51.0685283261114,11.0600004196167,60.693000793457,19.9,64.4444666666667,163.85,542.885803222656,74.368,17,13.199,"66","16","17","63","19","18","69","14","16"
"Japan",126529100,27.576369910355,10.5564415152335,6.16625352031787,NA,42797.4585169914,18.1928640768829,31.5200004577637,89.7900009155273,16.1,NA,98792.5,4563.45703125,84.2109756097561,134,24.118,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan",9956011,3.84649039799834,0.671212255739265,0.533540227473842,12.9,9478.90458750285,54.5586978750823,NA,84.9850006103516,14.4,78.8889333333333,2627.29,756.659240722656,74.405,14,23.436,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kazakhstan",18272430,7.39184627103032,2.07007614733361,0.916332598213873,NA,27879.7519462896,25.2912504856636,8.53999996185303,75.3850021362305,2.9,86.6666666666667,2367.46,820.35205078125,73.15,67,32.522,"99","0","0","99","0","0","100","0","0"
"Kenya",51393010,2.33918661191556,0.347275825509531,0.192552058492965,56,3467.55647830821,23.0051779768841,36.4300003051758,48.4440002441406,45.9,54.4444666666667,1246.76,158.155654907227,66.342,14,1.988,"25","35","40","22","34","44","32","40","29"
"Kiribati",115847,3.95262717204589,0.653605867173706,0.275738522603534,NA,2293.92033296962,92.0147851405208,NA,NA,NA,39.9999666666667,0.62,234.927398681641,68.116,19,2.028,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kosovo",1845300,NA,NA,NA,NA,11348.3634485683,55.5775847829135,7.65000009536743,NA,NA,26.6666666666667,278.43,NA,72.1951219512195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kuwait",4137309,2.55047238400198,0.257054011900513,0.208429791586201,NA,72897.562345371,43.7670247605056,NA,98.2249984741211,NA,NA,1003.84,3796.71484375,75.398,20,25.789,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyzstan",6322800,4.49472797559656,1.30099525917554,0.613608855615316,NA,3884.70880922506,68.3891768514591,19.5300006866455,64.6139984130859,37,93.3333333333333,137.06,241.248641967773,71.4,45,18.76,"89","9","2","87","11","2","93","5","1"
"Laos",7061507,4.0751499644481,0.683442955167632,0.454391231103814,31.4,7439.5993595197,41.8824634642904,25.8400001525879,19.382999420166,23.2,64.4444666666667,86.91,177.933731079102,67.61,15,4.997,"50","40","10","41","48","11","67","25","8"
"Late-demographic dividend",2288665963,10.7232529863456,2.54995895067915,1.47013929885471,NA,19073.3599520866,27.5169350199511,NA,57.5618159716857,NA,74.4791708333333,821699.001845436,943.179175087539,75.9954014946273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latin America & Caribbean",641357515,8.43830607177221,2.1650025171286,1.42816079137445,NA,16590.2222494058,23.8442462981941,27.1881862530534,62.4675477651115,NA,NA,108227.614330182,1277.16806109587,75.2802157502625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latin America & Caribbean (excluding high income)",609013934,8.24270282039559,2.08241259321562,1.38845005260278,NA,16017.9960913673,23.277658922127,27.0370246091645,61.9284472783035,NA,68.9542529411765,99168.16,1244.14475652131,75.0834544384024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latin America & the Caribbean (IDA & IBRD countries)",625569713,8.25620923692216,2.1094020137542,1.38519505747089,NA,16510.9587533277,23.6400333154496,27.1881862530534,62.1720334833207,NA,68.9418031746032,106588.64,1254.10707732289,75.192465413112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latvia",1927174,20.0436203206809,7.98817164555261,3.14242030632678,NA,30304.852496882,61.4891823719436,18.0599994659424,88.5910034179688,19.4,53.3333333333333,1417.73,1682.34423828125,74.6780487804878,58,31.946,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Least developed countries: UN classification",1009662578,3.5402491059174,0.5793212568961,0.430257931489513,NA,2995.44775813073,29.0694085799803,NA,24.3887328142664,NA,57.0085564102564,10876.0322194657,121.108994394152,64.7077302181912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lebanon",6848925,7.00236813439294,1.77056973348772,1.19514163374769,53.1,13081.1074629124,39.6092335810864,NA,63.773998260498,28.6,44.4444333333333,1776.31,1185.3271484375,78.875,29,22.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho",2108132,4.90108749682213,1.26328232695333,0.378519203617924,50.8,3219.45715691253,84.1773440046277,NA,83.2490005493164,57.1,64.4444666666667,18.54,265.540374755859,53.705,13,0.676,"2","3","95","0","2","98","6","5","89"
"Liberia",4818977,3.25343179968014,0.461197453886509,0.338090449936257,65.7,1308.62953596446,94.3321078431372,85.4499969482422,21.2849998474121,63.8,57.7777666666667,25.39,104.671043395996,63.73,8,0.373,"1","1","97","0","1","98","2","1","97"
"Libya",6678567,4.39204025898401,0.897056923445151,0.623992592236906,NA,20764.1641363784,40.1212444439452,NA,93.1699981689453,NA,27.7777666666667,161.9,NA,72.724,37,21.581,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liechtenstein",37910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4,NA,83.7463414634147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania",2801543,19.7050331564608,8.1713074490098,3.50274873842332,NA,35461.3590993235,73.6789110643871,22.7800006866455,88.4690017700195,20.6,43.3333333333333,2267.3,2132.60913085938,76.290243902439,73,43.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Low & middle income",6383958209,7.15665123057303,1.52075156103442,0.966537091891188,NA,11793.5373793215,25.7499682156702,NA,45.1546426972154,NA,63.8038105105105,1122296.31323907,541.119622942638,70.7965876778099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Low income",705417321,3.29117165297115,0.528945342281493,0.336581469960447,NA,2287.80688750076,35.252100397081,NA,17.5185093355528,NA,54.6666744444444,6532.61,93.1995059837376,63.3926101593465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lower middle income",3022905169,5.52941547318043,1.05884975561877,0.722742144749994,NA,7655.13787487705,30.0120036748667,NA,35.9741024433433,NA,66.6081964912281,232499.593201449,262.114068761427,68.3230243560808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",607950,14.1831541841472,5.04580106768937,3.00125284513916,NA,113337.420494703,175.544290965783,31.7600002288818,91.4649963378906,NA,NA,869.1,5956.48388671875,82.0951219512195,48,30.266,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macau",631636,10.4842029270023,2.55031799020444,1.57852572027654,NA,123892.166434539,33.2109943193318,5.67000007629395,93.8140029907227,NA,NA,NA,NA,84.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar",26262368,2.98671712579162,0.464329479076306,0.384010504939459,77.2,1891.32066763688,33.8198379741594,32.6399993896484,11.1020002365112,75.3,52.2222666666667,127.41,85.4875793457031,66.681,2,1.812,"51","23","26","40","27","33","69","15","15"
"Malawi",18143315,2.64543493031032,0.412039067778323,0.205437411186752,66.7,1310.99555499899,36.1670266760313,NA,39.6720008850098,50.7,73.3333333333333,231.21,114.819000244141,63.798,13,0.157,"9","76","16","7","75","17","15","77","7"
"Malaysia",31528585,6.67175462547886,1.13404073113269,1.01429906315504,NA,31782.1533573136,61.745411268396,11.6099996566772,74.7389984130859,1.7,75.5555666666667,23661.33,1138.96411132813,75.997,19,15.132,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maldives",515696,3.70334460612454,0.969418817028052,0.684023280900821,NA,15307.7219374077,77.1839483892858,19.3199996948242,76.4079971313477,NA,57.7777666666667,7.44,1506.9384765625,78.627,43,10.379,"96","2","2","95","1","4","97","2","0"
"Mali",19077690,2.50722975755683,0.296138983698029,0.240603953829339,56.3,2316.6551998375,34.0531709070044,16.1100006103516,18.4099998474121,43.6,67.7778,90.37,84.162956237793,58.893,1,1.393,"52","25","23","39","31","30","70","16","13"
"Malta",484630,20.3493242997122,5.76799302509232,3.38762126221706,NA,42581.0978615749,123.982943699442,34.2799987792969,85.9560012817383,NA,NA,422.02,3943.09594726563,82.3463414634146,47,38.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall Islands",58413,NA,NA,NA,NA,3989.03765796221,85.2805068737064,NA,NA,NA,32.2222,2.31,709.675598144531,NA,NA,4.554,"83","15","2","77","19","4","84","14","2"
"Mauritania",4403319,3.14111215805009,0.518632338535914,0.322204696612076,79.9,4150.96524599535,76.2198848987709,NA,44.8540000915527,42,57.7778,20.32,170.149353027344,64.704,4,1.79,"43","37","20","29","38","33","55","36","8"
"Mauritius",1265303,11.4741730686522,2.59336407111818,1.45222816029278,NA,23750.9880399871,54.1888142175361,40.5299987792969,79.5240020751953,NA,78.8889,126.94,1278.01147460938,74.4163414634146,34,20.246,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico",126190788,7.22368498087198,1.78072383878986,1.32388392318644,11.1,19844.6456685975,41.1590154688671,23.75,68.2809982299805,52.3,86.6666666666667,16345.64,1035.58508300781,74.992,15,22.478,"88","9","3","80","15","5","90","8","2"
"Micronesia (Federated States of)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.923,NA,NA,"72",NA,NA,NA,NA,NA,NA
"Micronesia, Fed. Sts.",112640,3.99680397727273,0.532798728507441,0.246193602458444,NA,3553.06145460345,65.3767292666934,6.21000003814697,NA,NA,41.1111,4.37,493.209564208984,67.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
