"Country","Population","Over65_perc","Over80F_percf","Over80M_percm","Slums_perc","GDP_pcap_ppp","Imports_percgdp","PartTime_perc","Salaried_perc","Poverty_perc","StatsCapacity","SciArticles","HealthSpend_pcap_ppp","LifeExp","HospBed_per10thou","MD_per10thou","HygBasic_natperc","HygLimit_natperc","HygNone_natperc","HygBasic_ruralperc","HygLimit_ruralperc","HygNone_ruralperc","HygBasic_urbanperc","HygLimit_urbanperc","HygNone_urbanperc"
"Sweden",10175214,20.0955249278002,6.26245881863494,4.08274767181263,NA,53208.8843603785,43.2869887657557,45.7299995422363,90.431999206543,NA,NA,20420.56,5699.60693359375,82.5121951219512,26,53.996,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Switzerland",8513227,18.6232165647717,6.31846878342175,3.9802980887717,NA,68060.9410452501,53.9033954564242,44.9300003051758,85.3460006713867,NA,NA,21378.56,8216.9580078125,83.5512195121951,47,42.363,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Syria",16906283,4.50312442147583,0.904709829311499,0.689897816477938,19.3,NA,NA,NA,62.9379997253418,35.2,26.6666666666667,274.65,NA,71.779,15,12.2,"71","21","9","69","20","11","72","21","7"
"Taiwan",23817000,15.8,NA,NA,NA,1251.967,NA,NA,NA,1.5,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tajikistan",9100837,3.02188755207627,0.597068308842741,0.449818211458802,NA,3449.77931578962,40.9215394067741,NA,57.0839996337891,47.2,73.3333333333333,62.4,231.423583984375,70.879,48,17.003,"73","23","5","67","27","6","87","11","2"
"Tanzania",56318348,2.60129917835952,0.356024144090241,0.195733816230634,50.7,3240.26293721191,17.098663264222,38.0900001525879,14.4969997406006,28.2,62.2222333333333,602.71,104.313980102539,65.015,7,0.399,"48","35","17","40","40","19","63","25","12"
"Thailand",69428524,11.9008931395893,2.98745031228904,2.07568057408385,25,19051.3333817112,56.4883209346758,16.8299999237061,48.8330001831055,12.6,76.6666666666667,12513.75,670.877075195313,76.931,21,8.096,"84","8","8","83","10","7","85","6","9"
"The Bahamas",385640,7.25760235662035,1.3998073752099,1.00895783730688,NA,32087.7291547443,41.2700712302306,NA,85.9219970703125,NA,NA,19.77,1756.14404296875,73.752,29,19.373,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Gambia",2280102,2.58998093938232,0.275318369495699,0.243793091556376,34.8,2612.00099501428,41.5109863180911,NA,26.4559993743896,48.4,64.4444666666667,33.83,55.7659721374512,61.735,11,1.077,"8","15","77","1","13","85","12","16","72"
"Timor-Leste",1267972,4.31649229400603,0.674670438400245,0.457982629428856,NA,7658.43499648981,59.9162921394844,48.3699989318848,31.2859992980957,49.9,61.1111333333333,13.92,263.843902587891,69.26,59,7.197,"28","65","7","22","69","9","43","54","4"
"Togo",7889094,2.86946801108822,0.303956886234793,0.236070694787507,51.2,1773.89663170619,42.2890443313526,NA,17.2800006866455,58.7,71.1111,86.06,103.730323791504,60.76,7,0.487,"10","12","78","4","11","85","20","13","66"
"Tonga",103197,5.95366144364662,1.31043306323421,1.0210605855114,NA,6419.56177829792,75.9221976120895,30.8500003814697,46.6529998779297,NA,46.6666666666667,4.82,335.307922363281,70.801,NA,5.223,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trinidad and Tobago",1389858,10.7349535163324,2.23810654792296,1.42929538577141,24.7,32014.7831311708,NA,6.53000020980835,76.504997253418,NA,41.1111,211.21,2205.806640625,73.38,30,26.697,"89","5","6","90","4","6","89","5","6"
"Tunisia",11565204,8.31567907898877,2.00762571361418,1.43186270028632,8,12502.8201886876,62.0400455204866,NA,72.9459991455078,15.5,67.7778,5564.86,863.290771484375,76.505,23,12.722,"79","5","16","54","10","36","90","3","7"
"Turkey",82319724,8.4832129399716,2.09672332281534,1.25823609528756,11.9,28068.8594133348,30.6272671841141,22.8400001525879,68.4980010986328,2.3,74.4444666666667,33535.8,1180.64184570313,77.437,27,17.605,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turkmenistan",5850908,4.42663446194014,1.11533451112658,0.632293406911145,NA,19304.1013058699,12.4971962092749,NA,72.9410018920898,NA,34.4444333333333,3.69,1249.62561035156,68.073,74,22.248,"100","0","0","100","0","0","100","0","0"
"Turks and Caicos Islands",37665,NA,NA,NA,NA,25370.7335360339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tuvalu",11508,NA,NA,NA,NA,4049.56437964299,NA,43.9799995422363,NA,NA,44.4444333333333,1.48,694.328552246094,NA,56,9.174,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uganda",42723139,1.94098692046317,0.276030832599754,0.135478194761969,53.6,2038.07389195994,28.6900064634472,42.1100006103516,21.6119995117188,19.5,61.1111333333333,673.07,121.151786804199,62.973,5,0.908,"21","32","47","17","33","50","34","27","39"
"Ukraine",44622516,16.4346864392016,5.60474030328313,2.37050281262019,NA,9249.46213479507,53.8086877645976,15.2700004577637,84.2590026855469,8.4,72.2222,10379.89,584.591369628906,71.5826829268293,88,30.075,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Arab Emirates",9630959,1.08500098484481,0.163864476791062,0.0976893899532615,NA,75075.2574109804,67.9783656986559,2.33999991416931,96.0540008544922,NA,NA,3144.89,2468.54931640625,77.814,12,23.944,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom",66460344,18.3958656741466,5.9184161082093,4.13800198857692,NA,45973.5735044198,31.769657960321,41.7099990844727,84.9499969482422,NA,NA,97680.9,4338.37255859375,81.3560975609756,28,28.058,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States",326687501,15.8076540556035,4.64999078966128,3.10021645542017,NA,62794.5856522398,15.3252110810918,21.4099998474121,93.7819976806641,15.1,NA,422807.71,10246.138671875,78.5390243902439,29,25.948,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Upper middle income",2655635719,10.0379487990588,2.30587492891865,1.4138656987376,NA,19028.8627594901,24.380716860164,NA,59.4587554998485,NA,67.7002620155039,883273.906700284,964.496540840132,75.5225332493901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uruguay",3449299,14.8145195308593,6.07614463017916,2.71338358362398,NA,23572.1774626679,18.9879779084104,NA,71.931999206543,11.5,77.7778,852.23,2101.91137695313,77.77,28,50.499,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uzbekistan",32955400,4.4191378781364,1.04558665702455,0.628220928301695,NA,8556.05151229768,38.7365127489172,NA,56.6180000305176,16,57.7777666666667,353.91,447.872192382813,71.573,40,23.685,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vanuatu",292680,3.64015306819735,0.535852928127773,0.5612488967046,NA,3221.1498234158,49.3913461173823,NA,28.1189994812012,NA,52.2222,6.45,110.431396484375,70.323,NA,1.706,"25","43","32","17","46","36","48","33","19"
"Venezuela",28870195,7.26698662012597,1.6479211108011,1.04285028681766,32,18102.468292325,31.3969861752704,NA,61.6030006408691,25.4,57.7777666666667,639.03,141.022201538086,72.128,8,19.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vietnam",95540395,7.2749782978793,2.63474876629828,1.27901625272562,27.2,7447.81433404948,102.474860762582,18.2099990844727,43.8790016174316,17.2,72.2222333333333,4286.48,375.643249511719,75.317,26,8.199,"86","13","2","82","16","2","93","7","0"
"Virgin Islands (U.S.)",106977,19.2883072220099,3.93535809936779,2.63332329014764,NA,NA,78.5732814526589,NA,87.3369979858398,NA,NA,NA,NA,79.5682926829268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"World",7594270356,8.87344224397751,2.26603845011395,1.39843492008142,NA,17948.4170399301,29.3378960857406,NA,52.7756334376756,NA,NA,2554373.36151358,1355.60484824892,72.3830086612671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yemen",28498687,2.87626975604452,0.416135351920326,0.283627857187326,60.8,2575.12638534566,NA,NA,47.0589981079102,34.8,32.2222,137.44,NA,66.096,7,3.104,"50","26","25","38","29","33","71","20","9"
"Zambia",17351822,2.09967802593266,0.351255165105907,0.154686513601366,54,4223.90693570847,38.2368178350222,NA,21.5629997253418,60.5,52.2222333333333,213.07,180.270660400391,63.51,20,0.913,"14","28","58","5","24","71","26","33","41"
"Zimbabwe",14439018,2.93952365300113,0.59957461235529,0.244973229856905,25.1,3029.79300547992,25.5124757295663,61.2200012207031,34.7910003662109,72.3,56.6666333333333,359.33,201.045455932617,61.195,17,0.763,"37","61","2","31","67","2","49","49","3"
